ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",47561.571292371074,2572.4843604275384,58737,5884.165508453455,495,"Washington","04000US53"
1,"Male",2016,"2016",1,"Full-time","291141","Registered nurses",74742.74397749253,10719.80774406522,5687,1849.4896243611938,54,"Washington","04000US53"
1,"Male",2016,"2016",1,"Full-time","412031","Retail salespersons",53290.38217722443,8410.684072466374,21927,3620.495655536177,208,"Washington","04000US53"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",63489.296790757384,47142.30529416695,3895,1531.1244129084744,31,"Washington","04000US53"
2,"Female",2016,"2016",1,"Full-time","291141","Registered nurses",70051.43545026048,3475.7568468421596,40310,4891.784147752828,390,"Washington","04000US53"
2,"Female",2016,"2016",1,"Full-time","412031","Retail salespersons",30569.846688412992,6455.088849885899,14102,2907.7799353730984,121,"Washington","04000US53"
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",44730.87690275145,2877.9207627601977,52227,5553.479782906794,487,"Washington","04000US53"
1,"Male",2015,"2015",1,"Full-time","291141","Registered nurses",79252.73479087453,10839.018317398826,4208,1591.317645677917,46,"Washington","04000US53"
1,"Male",2015,"2015",1,"Full-time","412031","Retail salespersons",47080.94998640935,6269.865536475056,22074,3631.972996711894,199,"Washington","04000US53"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",39154.2739039666,8674.69245107527,2395,1200.9505210861746,28,"Washington","04000US53"
2,"Female",2015,"2015",1,"Full-time","291141","Registered nurses",70384.56528230185,3770.2654159536482,36840,4678.4300494324625,369,"Washington","04000US53"
2,"Female",2015,"2015",1,"Full-time","412031","Retail salespersons",30518.059371671992,5022.225157367202,15024,3000.507586832159,133,"Washington","04000US53"
1,"Male",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",44666.23305401902,2461.0839016962905,54777,5682.905706179363,504,"Washington","04000US53"
1,"Male",2014,"2014",1,"Full-time","291141","Registered nurses",84384.52637818613,18451.211113274894,8435,2251.0467651752765,72,"Washington","04000US53"
1,"Male",2014,"2014",1,"Full-time","412031","Retail salespersons",50168.54446308725,7386.258935161416,25032,3864.9211355401985,236,"Washington","04000US53"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",35305.76980697206,8641.421749859017,3471,1445.4425138642937,30,"Washington","04000US53"
2,"Female",2014,"2014",1,"Full-time","291141","Registered nurses",67831.72989661522,3557.7917518241566,35305,4580.460543269198,353,"Washington","04000US53"
2,"Female",2014,"2014",1,"Full-time","412031","Retail salespersons",32788.25254207052,6036.6978117997405,16817,3173.1134358812046,156,"Washington","04000US53"
